timestamp	memavailable_kib	spill_free_kib	swapfree_kib
2026-09-12T23:34:09+04:00	29662472	137619240	2189964
2026-09-12T23:34:11+04:00	29580988	137621896	2189964
2026-09-12T23:34:13+04:00	29653480	137621884	2189964
2026-09-12T23:34:15+04:00	29640168	137621872	2190220
2026-09-12T23:34:19+04:00	29633952	137621844	2190476
2026-09-12T23:34:21+04:00	29637464	137621844	2190476
2026-09-12T23:34:23+04:00	29643424	137621824	2190476
2026-09-12T23:34:25+04:00	29646160	137621836	2190476
2026-09-12T23:34:27+04:00	29637488	137621784	2190476
2026-09-12T23:34:29+04:00	29648452	137621740	2190476
